Target,Type,RA,DEC,RA/DEC citation,Redshift,log10_dist,z citation,log10_Mc,log10_Mc_sigma,q,Mass UL,mass citation,log10_freq,freq citation,extra metadata
3C66B,Radio,02h23m11.5s,+42d59m30s,"Fey+2004, Xin+2021",0.0215,1.9755447815530847,Matthews+1964,8.897627091290442,"8.53, 9.07",0.583,1340000000.0,"Iguchi+2010, Arzoumanian+2023",-7.218963061378869,"Sudou+2003, Xin+2021",
CSO_J1735+5049,CSO,17h35m49.01s,+50d49m11.57s,Kiehlmann+2024,0.835,3.7303280267443593,Kiehlmann+2024,,,,,,-8.018760397222563,From Chiara,
HS_0926+3608,AGN,09h29m52.1s,+35d54m49.6s,"Graham+2015, Xin+2021",2.15,4.238681637416932,Graham+2015,9.588764005203222,0.3,1.0,,"Graham+2015, Xin+2021",-7.8297382846050425,"Graham+2015, Xin+2021",
HS_1630+2355,AGN,16h33m02.7s,+23d49m28.8s,"Graham+2015, Xin+2021",0.82101,3.7212601818369353,Graham+2015,9.498764005203222,0.3,1.0,12800000000.0,"Graham+2015, Xin+2021, Arzoumanian+2023",-7.94692155651658,"Graham+2015, Xin+2021",
NGC_3115,Radio,10h05m13.927s,-07d43m06.983s,SIMBAD,0.002222,0.9833988901150436,SIMBAD,8.939794000867204,,1.0,,Wong+2021,,,
NGC_3115_49nHz,Radio,10h05m13.927s,-07d43m06.983s,SIMBAD,0.002222,0.9833988901150436,SIMBAD,8.939794000867204,,1.0,,Wong+2021,-7.31,,
OJ287,Blazar,08h54m48.9s,+20d06m31s,Xin+2021,0.306,3.2063584825007037,Dey+2021,8.997701353663757,,0.008,,"Laine+2020, Xin+2021",-8.235077015350111,"Laine+2020, Xin+2021",Komossa+2024 reports much lower mass measurement
PKS_2131-021,Blazar,21h34m10.309s,-01d53m17.238s,Charlot+2020 (SIMBAD),1.285,3.9626112473971142,O'Neill+2022,,,,9140000000.0,"Aggarwal+2019, O'Neill+2022",-7.875440901001633,"O'Neill+2022, Kiehlmann+2024",
PKS_J0805-0111,Blazar,08h05m12.888s,-01d11m13.795s,Douglas+1996 (SIMBAD),1.388,4.004177688776811,de la Parra+2024,,,,11940000000.0,"Agazie+2023, de la Parra+2024",-7.729007890272325,de la Parra+2024,
SDSS_J092911.35+2037,AGN,09h29m11.3s,+20d37m09.2s,"Graham+2015, Xin+2021",1.8491,4.158245579061376,Graham+2015,9.558764005203223,0.3,1.0,,"Graham+2015, Xin+2021",-7.886056647693163,"Graham+2015, Xin+2021",
